Name	Key	Frames	X	Y	Size
{1f004}	[0]	1	0	0	0.015625
{1f0cf}	[1]	1	0.015625	0	0.015625
{1f170}	[2]	1	0.03125	0	0.015625
{1f171}	[3]	1	0.046875	0	0.015625
{1f17e}	[4]	1	0.0625	0	0.015625
{1f17f}	[5]	1	0.078125	0	0.015625
{1f18e}	[6]	1	0.09375	0	0.015625
{1f191}	[7]	1	0.109375	0	0.015625
{1f192}	[8]	1	0.125	0	0.015625
{1f193}	[9]	1	0.140625	0	0.015625
{1f194}	[10]	1	0.15625	0	0.015625
{1f195}	[11]	1	0.171875	0	0.015625
{1f196}	[12]	1	0.1875	0	0.015625
{1f197}	[13]	1	0.203125	0	0.015625
{1f198}	[14]	1	0.21875	0	0.015625
{1f199}	[15]	1	0.234375	0	0.015625
{1f19a}	[16]	1	0.25	0	0.015625
{1f1e6-1f1e8}	[17]	1	0.265625	0	0.015625
{1f1e6-1f1e9}	[18]	1	0.28125	0	0.015625
{1f1e6-1f1ea}	[19]	1	0.296875	0	0.015625
{1f1e6-1f1eb}	[20]	1	0.3125	0	0.015625
{1f1e6-1f1ec}	[21]	1	0.328125	0	0.015625
{1f1e6-1f1ee}	[22]	1	0.34375	0	0.015625
{1f1e6-1f1f1}	[23]	1	0.359375	0	0.015625
{1f1e6-1f1f2}	[24]	1	0.375	0	0.015625
{1f1e6-1f1f4}	[25]	1	0.390625	0	0.015625
{1f1e6-1f1f6}	[26]	1	0.40625	0	0.015625
{1f1e6-1f1f7}	[27]	1	0.421875	0	0.015625
{1f1e6-1f1f8}	[28]	1	0.4375	0	0.015625
{1f1e6-1f1f9}	[29]	1	0.453125	0	0.015625
{1f1e6-1f1fa}	[30]	1	0.46875	0	0.015625
{1f1e6-1f1fc}	[31]	1	0.484375	0	0.015625
{1f1e6-1f1fd}	[32]	1	0.5	0	0.015625
{1f1e6-1f1ff}	[33]	1	0.515625	0	0.015625
{1f1e6}	[34]	1	0.53125	0	0.015625
{1f1e7-1f1e6}	[35]	1	0.546875	0	0.015625
{1f1e7-1f1e7}	[36]	1	0.5625	0	0.015625
{1f1e7-1f1e9}	[37]	1	0.578125	0	0.015625
{1f1e7-1f1ea}	[38]	1	0.59375	0	0.015625
{1f1e7-1f1eb}	[39]	1	0.609375	0	0.015625
{1f1e7-1f1ec}	[40]	1	0.625	0	0.015625
{1f1e7-1f1ed}	[41]	1	0.640625	0	0.015625
{1f1e7-1f1ee}	[42]	1	0.65625	0	0.015625
{1f1e7-1f1ef}	[43]	1	0.671875	0	0.015625
{1f1e7-1f1f1}	[44]	1	0.6875	0	0.015625
{1f1e7-1f1f2}	[45]	1	0.703125	0	0.015625
{1f1e7-1f1f3}	[46]	1	0.71875	0	0.015625
{1f1e7-1f1f4}	[47]	1	0.734375	0	0.015625
{1f1e7-1f1f6}	[48]	1	0.75	0	0.015625
{1f1e7-1f1f7}	[49]	1	0.765625	0	0.015625
{1f1e7-1f1f8}	[50]	1	0.78125	0	0.015625
{1f1e7-1f1f9}	[51]	1	0.796875	0	0.015625
{1f1e7-1f1fb}	[52]	1	0.8125	0	0.015625
{1f1e7-1f1fc}	[53]	1	0.828125	0	0.015625
{1f1e7-1f1fe}	[54]	1	0.84375	0	0.015625
{1f1e7-1f1ff}	[55]	1	0.859375	0	0.015625
{1f1e7}	[56]	1	0.875	0	0.015625
{1f1e8-1f1e6}	[57]	1	0.890625	0	0.015625
{1f1e8-1f1e8}	[58]	1	0.90625	0	0.015625
{1f1e8-1f1e9}	[59]	1	0.921875	0	0.015625
{1f1e8-1f1eb}	[60]	1	0.9375	0	0.015625
{1f1e8-1f1ec}	[61]	1	0.953125	0	0.015625
{1f1e8-1f1ed}	[62]	1	0.96875	0	0.015625
{1f1e8-1f1ee}	[63]	1	0.984375	0	0.015625
{1f1e8-1f1f0}	[64]	1	0	0.015625	0.015625
{1f1e8-1f1f1}	[65]	1	0.015625	0.015625	0.015625
{1f1e8-1f1f2}	[66]	1	0.03125	0.015625	0.015625
{1f1e8-1f1f3}	[67]	1	0.046875	0.015625	0.015625
{1f1e8-1f1f4}	[68]	1	0.0625	0.015625	0.015625
{1f1e8-1f1f5}	[69]	1	0.078125	0.015625	0.015625
{1f1e8-1f1f7}	[70]	1	0.09375	0.015625	0.015625
{1f1e8-1f1fa}	[71]	1	0.109375	0.015625	0.015625
{1f1e8-1f1fb}	[72]	1	0.125	0.015625	0.015625
{1f1e8-1f1fc}	[73]	1	0.140625	0.015625	0.015625
{1f1e8-1f1fd}	[74]	1	0.15625	0.015625	0.015625
{1f1e8-1f1fe}	[75]	1	0.171875	0.015625	0.015625
{1f1e8-1f1ff}	[76]	1	0.1875	0.015625	0.015625
{1f1e8}	[77]	1	0.203125	0.015625	0.015625
{1f1e9-1f1ea}	[78]	1	0.21875	0.015625	0.015625
{1f1e9-1f1ec}	[79]	1	0.234375	0.015625	0.015625
{1f1e9-1f1ef}	[80]	1	0.25	0.015625	0.015625
{1f1e9-1f1f0}	[81]	1	0.265625	0.015625	0.015625
{1f1e9-1f1f2}	[82]	1	0.28125	0.015625	0.015625
{1f1e9-1f1f4}	[83]	1	0.296875	0.015625	0.015625
{1f1e9-1f1ff}	[84]	1	0.3125	0.015625	0.015625
{1f1e9}	[85]	1	0.328125	0.015625	0.015625
{1f1ea-1f1e6}	[86]	1	0.34375	0.015625	0.015625
{1f1ea-1f1e8}	[87]	1	0.359375	0.015625	0.015625
{1f1ea-1f1ea}	[88]	1	0.375	0.015625	0.015625
{1f1ea-1f1ec}	[89]	1	0.390625	0.015625	0.015625
{1f1ea-1f1ed}	[90]	1	0.40625	0.015625	0.015625
{1f1ea-1f1f7}	[91]	1	0.421875	0.015625	0.015625
{1f1ea-1f1f8}	[92]	1	0.4375	0.015625	0.015625
{1f1ea-1f1f9}	[93]	1	0.453125	0.015625	0.015625
{1f1ea-1f1fa}	[94]	1	0.46875	0.015625	0.015625
{1f1ea}	[95]	1	0.484375	0.015625	0.015625
{1f1eb-1f1ee}	[96]	1	0.5	0.015625	0.015625
{1f1eb-1f1ef}	[97]	1	0.515625	0.015625	0.015625
{1f1eb-1f1f0}	[98]	1	0.53125	0.015625	0.015625
{1f1eb-1f1f2}	[99]	1	0.546875	0.015625	0.015625
{1f1eb-1f1f4}	[100]	1	0.5625	0.015625	0.015625
{1f1eb-1f1f7}	[101]	1	0.578125	0.015625	0.015625
{1f1eb}	[102]	1	0.59375	0.015625	0.015625
{1f1ec-1f1e6}	[103]	1	0.609375	0.015625	0.015625
{1f1ec-1f1e7}	[104]	1	0.625	0.015625	0.015625
{1f1ec-1f1e9}	[105]	1	0.640625	0.015625	0.015625
{1f1ec-1f1ea}	[106]	1	0.65625	0.015625	0.015625
{1f1ec-1f1eb}	[107]	1	0.671875	0.015625	0.015625
{1f1ec-1f1ec}	[108]	1	0.6875	0.015625	0.015625
{1f1ec-1f1ed}	[109]	1	0.703125	0.015625	0.015625
{1f1ec-1f1ee}	[110]	1	0.71875	0.015625	0.015625
{1f1ec-1f1f1}	[111]	1	0.734375	0.015625	0.015625
{1f1ec-1f1f2}	[112]	1	0.75	0.015625	0.015625
{1f1ec-1f1f3}	[113]	1	0.765625	0.015625	0.015625
{1f1ec-1f1f5}	[114]	1	0.78125	0.015625	0.015625
{1f1ec-1f1f6}	[115]	1	0.796875	0.015625	0.015625
{1f1ec-1f1f7}	[116]	1	0.8125	0.015625	0.015625
{1f1ec-1f1f8}	[117]	1	0.828125	0.015625	0.015625
{1f1ec-1f1f9}	[118]	1	0.84375	0.015625	0.015625
{1f1ec-1f1fa}	[119]	1	0.859375	0.015625	0.015625
{1f1ec-1f1fc}	[120]	1	0.875	0.015625	0.015625
{1f1ec-1f1fe}	[121]	1	0.890625	0.015625	0.015625
{1f1ec}	[122]	1	0.90625	0.015625	0.015625
{1f1ed-1f1f0}	[123]	1	0.921875	0.015625	0.015625
{1f1ed-1f1f2}	[124]	1	0.9375	0.015625	0.015625
{1f1ed-1f1f3}	[125]	1	0.953125	0.015625	0.015625
{1f1ed-1f1f7}	[126]	1	0.96875	0.015625	0.015625
{1f1ed-1f1f9}	[127]	1	0.984375	0.015625	0.015625
{1f1ed-1f1fa}	[128]	1	0	0.03125	0.015625
{1f1ed}	[129]	1	0.015625	0.03125	0.015625
{1f1ee-1f1e8}	[130]	1	0.03125	0.03125	0.015625
{1f1ee-1f1e9}	[131]	1	0.046875	0.03125	0.015625
{1f1ee-1f1ea}	[132]	1	0.0625	0.03125	0.015625
{1f1ee-1f1f1}	[133]	1	0.078125	0.03125	0.015625
{1f1ee-1f1f2}	[134]	1	0.09375	0.03125	0.015625
{1f1ee-1f1f3}	[135]	1	0.109375	0.03125	0.015625
{1f1ee-1f1f4}	[136]	1	0.125	0.03125	0.015625
{1f1ee-1f1f6}	[137]	1	0.140625	0.03125	0.015625
{1f1ee-1f1f7}	[138]	1	0.15625	0.03125	0.015625
{1f1ee-1f1f8}	[139]	1	0.171875	0.03125	0.015625
{1f1ee-1f1f9}	[140]	1	0.1875	0.03125	0.015625
{1f1ee}	[141]	1	0.203125	0.03125	0.015625
{1f1ef-1f1ea}	[142]	1	0.21875	0.03125	0.015625
{1f1ef-1f1f2}	[143]	1	0.234375	0.03125	0.015625
{1f1ef-1f1f4}	[144]	1	0.25	0.03125	0.015625
{1f1ef-1f1f5}	[145]	1	0.265625	0.03125	0.015625
{1f1ef}	[146]	1	0.28125	0.03125	0.015625
{1f1f0-1f1ea}	[147]	1	0.296875	0.03125	0.015625
{1f1f0-1f1ec}	[148]	1	0.3125	0.03125	0.015625
{1f1f0-1f1ed}	[149]	1	0.328125	0.03125	0.015625
{1f1f0-1f1ee}	[150]	1	0.34375	0.03125	0.015625
{1f1f0-1f1f2}	[151]	1	0.359375	0.03125	0.015625
{1f1f0-1f1f3}	[152]	1	0.375	0.03125	0.015625
{1f1f0-1f1f5}	[153]	1	0.390625	0.03125	0.015625
{1f1f0-1f1f7}	[154]	1	0.40625	0.03125	0.015625
{1f1f0-1f1fc}	[155]	1	0.421875	0.03125	0.015625
{1f1f0-1f1fe}	[156]	1	0.4375	0.03125	0.015625
{1f1f0-1f1ff}	[157]	1	0.453125	0.03125	0.015625
{1f1f0}	[158]	1	0.46875	0.03125	0.015625
{1f1f1-1f1e6}	[159]	1	0.484375	0.03125	0.015625
{1f1f1-1f1e7}	[160]	1	0.5	0.03125	0.015625
{1f1f1-1f1e8}	[161]	1	0.515625	0.03125	0.015625
{1f1f1-1f1ee}	[162]	1	0.53125	0.03125	0.015625
{1f1f1-1f1f0}	[163]	1	0.546875	0.03125	0.015625
{1f1f1-1f1f7}	[164]	1	0.5625	0.03125	0.015625
{1f1f1-1f1f8}	[165]	1	0.578125	0.03125	0.015625
{1f1f1-1f1f9}	[166]	1	0.59375	0.03125	0.015625
{1f1f1-1f1fa}	[167]	1	0.609375	0.03125	0.015625
{1f1f1-1f1fb}	[168]	1	0.625	0.03125	0.015625
{1f1f1-1f1fe}	[169]	1	0.640625	0.03125	0.015625
{1f1f1}	[170]	1	0.65625	0.03125	0.015625
{1f1f2-1f1e6}	[171]	1	0.671875	0.03125	0.015625
{1f1f2-1f1e8}	[172]	1	0.6875	0.03125	0.015625
{1f1f2-1f1e9}	[173]	1	0.703125	0.03125	0.015625
{1f1f2-1f1ea}	[174]	1	0.71875	0.03125	0.015625
{1f1f2-1f1eb}	[175]	1	0.734375	0.03125	0.015625
